lat,lon,Temperature,Fe,O2,Silicate,Nitrate,pH,Phosphate,Salinity,SPCO2,Chla,PAR,DOC,NH4,NPP
-17.715097,-33.5,23.594112,0.000379986,213.47083,1.4381737,0.0001322,8.072532,0.009046331,37.02867,36.065357,0.056366724,0.40044302,29.418802,0.000600709,0.476793651
-17.715097,-32.5,23.594412,0.000369051,213.5574,1.4346554,0.000141645,8.071337,0.009566123,37.084805,36.240234,0.056219993,0.39642268,29.18012,0.000612675,0.470260526
-17.715097,-31.5,23.425434,0.00035139,214.03944,1.4198972,0.000143797,8.072991,0.010124512,37.04317,36.08807,0.055958997,0.3964561,28.815031,0.000592424,0.446075777
-17.715097,-30.5,23.308798,0.000328473,214.48207,1.3977336,0.000146204,8.07278,0.011010682,37.023632,36.1014,0.057037236,0.39462793,28.320434,0.000573463,0.424629392
-17.715097,-29.5,23.213055,0.000305997,214.84914,1.3738282,0.000148339,8.072287,0.012155292,37.027763,36.200745,0.057867066,0.3947169,27.779,0.000557849,0.406528637
-17.715097,-28.5,23.183731,0.00028585,215.10406,1.3511443,0.000150947,8.072732,0.013404323,37.04799,36.383995,0.058199043,0.3985269,27.239302,0.000549736,0.399269648
-17.715097,-27.5,23.089525,0.000268484,215.50828,1.3316964,0.000153145,8.072757,0.014780215,37.074577,36.477818,0.058078513,0.3985355,26.70717,0.000540241,0.384490748
-17.715097,-26.5,23.003368,0.00025616,215.90842,1.3224172,0.000159008,8.072537,0.015817384,37.086494,36.513584,0.05880638,0.396652,26.291758,0.000530878,0.370844148
-17.715097,-25.5,22.937128,0.000250195,216.29606,1.3254345,0.000179537,8.072848,0.016323167,37.076763,36.4924,0.05959762,0.39738992,26.03611,0.000525461,0.366075521
-17.715097,-24.5,22.835136,0.000248562,216.70184,1.3445701,0.000195769,8.072809,0.016410952,37.05467,36.33221,0.060373946,0.40011126,25.931995,0.000520285,0.362335991
-17.715097,-23.5,22.779266,0.000249941,216.96854,1.3761905,0.000204726,8.072458,0.015918202,37.028133,36.158684,0.06204705,0.4033418,25.94337,0.000524812,0.364632949
