Temperature,Fe,O2,Silicate,Nitrate,pH,Phosphate,Salinity,SPCO2,Chla,PAR,DOC,NH4,Iceberg,NPP
-1.8054012,0.00112718,328.2433,47.480367,27.293086,8.015813,1.9344148,34.05427,39.994335,0.0935,0.08214672,5.4493155,0.02570662,0.618945883,0.139968
-1.7913085,0.0011278,330.5073,46.60072,27.157748,8.01884,1.9254661,34.029728,39.7676,0.114822,0.09223106,5.424576,0.027347813,0.402464506,0.1700352
-1.7878522,0.00112763,332.6948,45.75151,27.036203,8.020949,1.917343,34.0063,39.54848,0.132375,0.09332928,5.3964495,0.029112129,0.286454811,0.18144
-1.7917053,0.0011164,334.86593,45.10158,26.96743,8.023161,1.9126695,34.01677,39.404907,0.141489,0.094392866,5.3727976,0.030802636,0.217187343,0.191808
-1.7947558,0.00111699,336.27215,44.65478,26.918394,8.025337,1.9090794,33.997402,39.28018,0.13916,0.09625529,5.348731,0.03210902,0.182887978,0.20736
-1.7922035,0.00111903,337.07747,44.45496,26.90334,8.02796,1.9077415,33.968426,39.21952,0.124912,0.10081619,5.331469,0.032943102,0.244505192,0.2270592
-1.7917496,0.00109883,337.62392,44.561863,26.97715,8.031672,1.9122916,34.002335,39.33078,0.11298,0.1005547,5.330945,0.033286444,0.282520397,0.2249856
-1.7907488,0.00108939,337.14744,44.930927,27.06632,8.035391,1.9177963,34.012016,39.452263,0.112612,0.10577845,5.3349296,0.03318537,0.311227428,0.238464
-1.7955036,0.00108203,335.87095,45.496866,27.178211,8.038289,1.9246938,34.02179,39.642414,0.14351,0.10164938,5.3504426,0.032688036,0.248249465,0.2405376
-1.7977747,0.00108116,334.48273,46.017766,27.243793,8.039807,1.9283576,33.989162,39.71405,0.218334,0.0970501,5.3760516,0.03265205,0.173508497,0.3131136
-1.7841567,0.00109876,334.38036,45.9269,27.0964,8.041629,1.9181861,33.857132,39.382458,0.366293,0.09884981,5.425981,0.036750156,0.133346814,0.6023808
-1.7667636,0.00112542,337.11916,44.812206,26.64993,8.044505,1.8891272,33.657124,38.474594,0.621917,0.095203884,5.546943,0.050984374,0.133747226,1.005696
-1.7269907,0.00115461,342.96086,42.845596,25.894782,8.050566,1.8414359,33.46149,37.119724,1.005808,0.11021235,5.802253,0.07577762,0.373377168,2.156544
-1.6025851,0.00121892,350.0119,40.167414,24.795253,8.061771,1.772122,33.166218,35.40939,1.428329,0.1584019,6.2231766,0.102862716,0.863068349,5.785344
-1.2086011,0.00120537,359.7339,37.320662,23.589648,8.07257,1.6976481,33.178463,34.076385,1.91531,0.24744758,6.8833614,0.12357155,1.33101144,14.72256
-1.8518544,0.0018697,330.7754,45.072813,26.515018,8.021789,1.8857672,34.063736,38.88077,0.160813,0.05663112,5.401325,0.026014042,6.8838336,0.09341568
-1.846479,0.00167473,331.29072,44.723365,26.457833,8.024286,1.8819576,33.974964,38.743046,0.186735,0.0539426,5.403286,0.027194712,7.500793536,0.09445248
-1.8111258,0.00157001,330.98796,44.544112,26.411336,8.024638,1.8785833,33.885784,38.717434,0.17205,0.060502578,5.3968704,0.02814108,1.970255232,0.1119744
-1.7980325,0.00144679,330.01474,45.057554,26.552396,8.019853,1.8874939,33.899166,38.93632,0.127583,0.053957142,5.4058,0.028020577,0.923594746,0.09507456
-1.8027996,0.00131464,327.35896,46.587832,26.908448,8.01394,1.9101101,33.957306,39.47235,0.0921,0.056174714,5.4275426,0.026305926,0.695908195,0.08978688
-1.8041286,0.00123154,323.43748,48.681036,27.366871,8.010932,1.9390829,34.013813,40.15848,0.0661,0.064445786,5.454393,0.023654147,0.495404122,0.09621504
-1.8080609,0.00117213,321.29282,50.101075,27.694523,8.008958,1.9598745,34.06783,40.68345,0.0562,0.07193944,5.483719,0.022073755,0.380882848,0.1067904
-1.8118539,0.00113423,321.36428,50.452527,27.80068,8.008221,1.9667363,34.100433,40.843895,0.0552,0.07697009,5.499101,0.021839729,0.46141825,0.1181952
